UniProt,CrystalStructureCount,CrystalScore_Global,CrystalScore_q95
A0A075B6N1,1,0.0009157509157509158,0.03225806451612903
A0A075B6T6,3,0.0027472527472527475,0.0967741935483871
A0A087WT01,1,0.0009157509157509158,0.03225806451612903
A0A0A1I7H6,2,0.0018315018315018315,0.06451612903225806
A0A0B4J268,2,0.0018315018315018315,0.06451612903225806
A0A0B4J271,6,0.005494505494505495,0.1935483870967742
A0A0B4J272,3,0.0027472527472527475,0.0967741935483871
A0A0B4J274,1,0.0009157509157509158,0.03225806451612903
A0A0B4J277,4,0.003663003663003663,0.12903225806451613
A0A0B4J279,8,0.007326007326007326,0.25806451612903225
A0A0B4J2E0,6,0.005494505494505495,0.1935483870967742
A0A0B4J2H0,5,0.004578754578754579,0.16129032258064516
A0A0G2JL56,1,0.0009157509157509158,0.03225806451612903
A0A0G2JMB4,1,0.0009157509157509158,0.03225806451612903
A0A0G2JPD3,4,0.003663003663003663,0.12903225806451613
A0A0K0K1A5,7,0.00641025641025641,0.22580645161290322
A0A0U5IHY9,1,0.0009157509157509158,0.03225806451612903
A0A0U5Q247,1,0.0009157509157509158,0.03225806451612903
A0A140T913,28,0.02564102564102564,0.9032258064516129
A0A140T955,1,0.0009157509157509158,0.03225806451612903
A0A143Y4R2,5,0.004578754578754579,0.16129032258064516
A0A173ADK6,1,0.0009157509157509158,0.03225806451612903
A0A1V1IGJ9,2,0.0018315018315018315,0.06451612903225806
A0A2R7Z5J3,4,0.003663003663003663,0.12903225806451613
A0A2R8Y7D0,1,0.0009157509157509158,0.03225806451612903
A0A2R8Y7R8,1,0.0009157509157509158,0.03225806451612903
A0A411J078,3,0.0027472527472527475,0.0967741935483871
A0A499S0B6,1,0.0009157509157509158,0.03225806451612903
A0A4E0W6L3,1,0.0009157509157509158,0.03225806451612903
A0A578,1,0.0009157509157509158,0.03225806451612903
A0A580,1,0.0009157509157509158,0.03225806451612903
A0A583ZB34,6,0.005494505494505495,0.1935483870967742
A0A583ZBQ2,1,0.0009157509157509158,0.03225806451612903
A0A584,1,0.0009157509157509158,0.03225806451612903
A0A592,1,0.0009157509157509158,0.03225806451612903
A0A5A3,3,0.0027472527472527475,0.0967741935483871
A0A5B4,2,0.0018315018315018315,0.06451612903225806
A0A5B6,3,0.0027472527472527475,0.0967741935483871
A0A5B8RNS7,3,0.0027472527472527475,0.0967741935483871
A0A5B9,26,0.023809523809523808,0.8387096774193549
A0A5C2GBJ8,1,0.0009157509157509158,0.03225806451612903
A0A5H2UYS3,12,0.01098901098901099,0.3870967741935484
A0A6B7HFJ9,3,0.0027472527472527475,0.0967741935483871
A0A6B9UEV8,1,0.0009157509157509158,0.03225806451612903
A0FGR8,2,0.0018315018315018315,0.06451612903225806
A0JD37,1,0.0009157509157509158,0.03225806451612903
A1L3X0,1,0.0009157509157509158,0.03225806451612903
A1Z1Q3,4,0.003663003663003663,0.12903225806451613
A2BFX2,1,0.0009157509157509158,0.03225806451612903
A2KBC1,1,0.0009157509157509158,0.03225806451612903
A2NUT2,3,0.0027472527472527475,0.0967741935483871
A3F718,5,0.004578754578754579,0.16129032258064516
A4D126,1,0.0009157509157509158,0.03225806451612903
A4D1P6,10,0.009157509157509158,0.3225806451612903
A4D2B0,1,0.0009157509157509158,0.03225806451612903
A4FUT8,1,0.0009157509157509158,0.03225806451612903
A4UGR9,1,0.0009157509157509158,0.03225806451612903
A5YKK6,8,0.007326007326007326,0.25806451612903225
A6NCL1,1,0.0009157509157509158,0.03225806451612903
A6ND01,3,0.0027472527472527475,0.0967741935483871
A6NED2,3,0.0027472527472527475,0.0967741935483871
